Date,Price,Open,High,Low,Vol.,Change %
10/22/2025,106.5987,105.8217,106.6221,105.8188,,0.75%
10/21/2025,105.81,107.4669,107.5248,105.3421,,-1.63%
10/20/2025,107.561,106.273,107.5727,105.9973,,1.84%
10/17/2025,105.6158,106.0701,106.5838,105.3134,,-0.63%
10/16/2025,106.2822,106.0935,106.8006,105.7326,,0.65%
10/15/2025,105.5934,105.7181,106.0382,105.4436,,0.14%
10/14/2025,105.4431,105.9717,106.2864,104.5818,,-0.33%
10/13/2025,105.797,105.3038,105.9217,105.0477,,1.64%
10/10/2025,104.0889,105.7526,105.8465,103.9849,,-1.52%
10/09/2025,105.6945,106.4882,107.5448,105.6156,,-1.17%
10/08/2025,106.9415,106.624,107.3425,106.5742,,0.50%
10/07/2025,106.4112,106.0083,106.5729,105.8517,,0.39%
10/06/2025,105.997,106.0565,106.3029,105.7519,,0.61%
10/03/2025,105.3546,104.9706,105.6914,104.8717,,0.48%
10/02/2025,104.8516,105.2986,105.5883,104.6199,,-0.47%
10/01/2025,105.3474,104.8966,105.4836,104.5663,,0.69%
09/30/2025,104.6288,105.0233,105.1152,104.328,,-0.37%
09/29/2025,105.0223,104.8117,105.3349,104.7208,,-0.08%
09/26/2025,105.104,104.5841,105.1613,104.39,,0.62%
09/25/2025,104.46,104.0385,104.7269,103.9975,,0.42%
09/24/2025,104.0225,103.5113,104.321,103.4015,,0.30%
09/23/2025,103.7149,102.8508,103.7792,102.6588,,0.71%
09/22/2025,102.9793,103.32,103.6494,102.6605,,0.00%
09/19/2025,102.9745,103.4361,103.617,102.9091,,-0.37%
09/18/2025,103.3603,103.8353,104.1224,103.269,,-0.83%
09/17/2025,104.229,105.1712,105.1744,104.1866,,-1.06%
09/16/2025,105.3474,104.7424,105.4689,104.5608,,0.63%
09/15/2025,104.6868,103.7389,104.7011,103.6201,,0.86%
09/12/2025,103.7894,103.0774,104.0605,103.0291,,0.66%
09/11/2025,103.1039,103.2549,103.3182,102.7009,,-0.15%
09/10/2025,103.2618,102.9927,103.3818,102.9705,,0.21%
09/09/2025,103.0468,103.2256,103.6621,102.921,,-0.09%
09/08/2025,103.136,102.733,103.2929,102.6204,,0.69%
09/05/2025,102.4252,102.8024,103.0703,102.3457,,-0.39%
09/04/2025,102.829,103.0281,103.0537,102.3994,,-0.58%
09/03/2025,103.4291,103.7072,103.8117,103.2887,,-0.21%
09/02/2025,103.6499,103.3382,103.6697,102.5125,,0.84%
08/29/2025,102.7876,101.979,102.8079,101.8093,,0.81%
08/28/2025,101.9635,101.3537,101.9872,101.3076,,0.46%
08/27/2025,101.496,101.2407,101.5685,100.8148,,0.28%
08/26/2025,101.2172,101.563,101.6588,101.0667,,-0.48%
08/25/2025,101.7101,101.4181,102.0254,101.4162,,0.08%
08/22/2025,101.6307,100.9222,101.7435,100.7811,,0.60%
08/21/2025,101.0256,100.2915,101.1115,100.2034,,0.84%
08/20/2025,100.1791,99.5042,100.3042,99.4275,,0.68%
08/19/2025,99.5038,100.1739,100.2657,99.4075,,-0.80%
08/18/2025,100.3019,100.2099,100.5126,99.892,,-0.08%
08/15/2025,100.3798,100.0951,100.574,99.8594,,0.37%
08/14/2025,100.0111,100.5953,100.6467,99.7406,,-0.34%
08/13/2025,100.3542,100.258,100.6209,99.9556,,0.11%
08/12/2025,100.2444,100.4807,100.5916,99.9614,,-0.29%
08/11/2025,100.5381,100.1523,100.7353,100.0646,,-0.25%
08/08/2025,100.7926,100.9929,101.5008,100.711,,0.05%
08/07/2025,100.7408,100.7967,101.1161,100.5874,,0.29%
08/06/2025,100.4541,100.4331,101.0909,100.2583,,0.15%
08/05/2025,100.3022,100.4084,100.6402,100.1922,,-0.12%
08/04/2025,100.4261,100.4676,100.8648,100.3028,,-0.20%
08/01/2025,100.6226,101.1436,101.477,100.4938,,-0.56%
07/31/2025,101.1846,101.5452,101.6924,100.9389,,-2.00%
07/30/2025,103.2451,103.9244,104.1029,103.0342,,-0.56%
07/29/2025,103.8317,103.2084,103.8633,103.07,,0.65%
07/28/2025,103.1599,103.443,103.8815,103.0389,,-0.30%
07/25/2025,103.4724,104.3811,104.4127,103.3333,,-0.73%
07/24/2025,104.233,104.2408,104.6492,103.9332,,0.06%
07/23/2025,104.1742,104.7738,104.9406,104.137,,-0.49%
07/22/2025,104.6902,104.4025,104.7338,104.0638,,-0.03%
07/21/2025,104.7231,104.6907,104.9795,104.4077,,-0.37%
07/18/2025,105.1171,104.5771,105.7858,104.5538,,0.64%
07/17/2025,104.4469,104.1407,104.4626,103.7389,,0.39%
07/16/2025,104.0366,103.8589,104.1895,103.3178,,0.36%
07/15/2025,103.6625,103.6408,103.9029,103.4054,,-0.10%
07/14/2025,103.7675,104.0583,104.749,103.5266,,-0.06%
07/11/2025,103.8281,103.445,104.2636,103.0913,,0.70%
07/10/2025,103.1065,102.9304,103.4319,102.7989,,0.32%
07/09/2025,102.7826,103.2447,103.3519,102.5386,,-0.58%
07/08/2025,103.3829,102.5271,103.6795,102.2324,,0.71%
07/07/2025,102.6503,102.2594,102.703,101.8706,,-0.72%
07/03/2025,103.3911,103.5929,104.2017,103.3138,,-0.31%
07/02/2025,103.7137,102.096,103.7622,101.8986,,1.51%
07/01/2025,102.173,101.8725,102.4655,101.8061,,0.15%
06/30/2025,102.0209,102.4061,102.8042,101.8302,,-0.84%
06/27/2025,102.8875,102.644,102.9703,102.2002,,0.34%
06/26/2025,102.5386,102.3932,102.6767,102.2936,,0.32%
06/25/2025,102.2135,103.0352,103.1302,102.1841,,-0.26%
06/24/2025,102.4794,104.0016,104.2568,102.4434,,-2.47%
06/23/2025,105.0716,107.2587,107.3795,104.9885,,-1.57%
06/20/2025,106.7456,107.3637,107.6977,106.5979,,-0.59%
06/18/2025,107.3785,106.9052,107.4403,106.4611,,0.56%
06/17/2025,106.7846,105.813,106.8221,105.5453,,1.03%
06/16/2025,105.6982,105.9335,105.9959,104.5156,,0.37%
06/13/2025,105.3082,105.2077,105.8851,104.0098,,1.98%
06/12/2025,103.2588,103.4954,103.7704,102.9837,,0.07%
06/11/2025,103.1892,102.8679,103.4779,102.603,,0.41%
06/10/2025,102.7719,103.0427,103.3682,102.706,,-0.44%
06/09/2025,103.2221,103.0238,103.4313,102.7542,,-0.09%
06/06/2025,103.314,102.9944,103.3838,102.6756,,0.50%
06/05/2025,102.8017,102.3779,103.5285,102.1619,,0.40%
06/04/2025,102.389,102.4054,102.7042,102.0348,,0.12%
06/03/2025,102.269,101.9999,102.4663,101.5535,,0.24%
06/02/2025,102.0278,100.8381,102.61,100.7669,,2.04%
05/30/2025,99.987,100.6255,100.9696,99.7886,,-0.85%
05/29/2025,100.8444,101.2221,101.5931,100.4521,,-0.22%
05/28/2025,101.0652,102.0396,102.273,101.051,,-0.85%
05/27/2025,101.9294,102.2608,102.3794,101.5698,,-0.75%
05/23/2025,102.7004,102.0324,102.7243,101.5897,,0.79%
05/22/2025,101.8927,102.4148,102.6342,101.3603,,-0.65%
05/21/2025,102.5597,102.6134,102.9678,102.3956,,0.36%
05/20/2025,102.1968,100.6876,102.2698,100.4971,,1.36%
05/19/2025,100.8258,100.8987,101.218,100.6617,,-0.13%
05/16/2025,100.9569,101.6416,101.7549,100.6377,,-0.68%
05/15/2025,101.6516,101.64,101.9125,100.9272,,-0.72%
05/14/2025,102.3938,103.1425,103.2345,102.2697,,-0.81%
05/13/2025,103.2332,102.2998,103.4203,102.2889,,0.93%
05/12/2025,102.2859,102.3749,103.3448,102.2458,,-0.46%
05/09/2025,102.7629,101.5356,102.9292,101.4291,,1.12%
05/08/2025,101.6241,101.7851,102.0454,101.084,,0.12%
05/07/2025,101.5051,102.5695,102.8487,101.3532,,-0.77%
05/06/2025,102.2916,102.1229,102.7609,101.9364,,1.10%
05/05/2025,101.1797,101.1098,102.0298,100.9819,,-0.27%
05/02/2025,101.4542,101.2059,101.8542,101.0801,,0.61%
05/01/2025,100.8346,100.546,100.9513,99.8807,,-0.09%
04/30/2025,100.9267,102.0452,102.1827,100.772,,-1.42%
04/29/2025,102.3781,103.0873,103.1957,102.1468,,-0.71%
04/28/2025,103.1103,102.3271,103.1251,102.1519,,0.47%
04/25/2025,102.6241,103.0699,103.3061,102.2189,,-0.29%
04/24/2025,102.9215,102.5648,102.9381,102.1334,,0.78%
04/23/2025,102.1263,102.9147,103.0804,101.6363,,-0.60%
04/22/2025,102.738,102.7906,103.1186,102.5596,,0.57%
04/21/2025,102.1601,102.8783,103.2239,102.0628,,-0.73%
04/17/2025,102.9124,102.476,103.0458,102.2268,,0.46%
04/16/2025,102.4454,101.2334,102.5575,100.8429,,1.27%
04/15/2025,101.1614,101.2198,101.4936,100.6084,,0.12%
04/14/2025,101.0435,101.4229,102.0772,101.0235,,-0.43%
04/11/2025,101.4796,99.779,101.5417,99.6894,,1.69%
04/10/2025,99.7977,100.3312,100.7822,99.2471,,0.10%
04/09/2025,99.7019,97.0163,99.8485,96.133,,2.45%
04/08/2025,97.3166,98.8821,99.6598,97.2561,,-0.80%
04/07/2025,98.0968,99.3751,101.1959,98.0596,,-1.59%
04/04/2025,99.6779,104.0692,104.1285,99.2474,,-4.42%
04/03/2025,104.29,105.6688,105.7384,103.8674,,-2.53%
04/02/2025,106.9935,106.6039,107.129,106.2296,,0.45%
