Date,Price,Open,High,Low,Vol.,Change %
10/22/2025,4.9815,4.9433,5,4.9167,13.78K,0.93%
10/21/2025,4.9358,5.05,5.072,4.9145,0.39K,-1.99%
10/20/2025,5.036,4.9885,5.076,4.971,33.17K,1.02%
10/19/2025,4.9853,4.991,5.0165,4.9808,0.71K,0.32%
10/17/2025,4.9695,4.9875,5.0245,4.8835,42.19K,-0.59%
10/16/2025,4.999,4.9765,5.0165,4.9305,41.84K,-0.31%
10/15/2025,5.0145,5.0105,5.0825,4.945,39.51K,-0.17%
10/14/2025,5.023,5.1325,5.178,4.9315,64.24K,-2.35%
10/13/2025,5.144,4.923,5.18,4.9225,1.35K,5.11%
10/10/2025,4.894,5.1405,5.1785,4.822,78.40K,-4.47%
10/09/2025,5.123,5.0805,5.261,5.04,70.17K,0.56%
10/08/2025,5.0945,5.094,5.156,5.065,42.26K,-0.06%
10/07/2025,5.0975,5.042,5.1465,5.032,42.49K,1.18%
10/06/2025,5.038,5.089,5.124,5.0145,39.93K,-1.39%
10/03/2025,5.109,4.954,5.1205,4.938,53.04K,3.22%
10/02/2025,4.9495,4.892,4.9895,4.85,45.08K,1.37%
10/01/2025,4.8825,4.879,4.904,4.816,33.39K,0.54%
09/30/2025,4.8565,4.9055,4.913,4.82,38.78K,-0.73%
09/29/2025,4.892,4.76,4.9205,4.7505,40.79K,3.08%
09/26/2025,4.746,4.75,4.77,4.692,1.61K,0.29%
09/25/2025,4.7325,4.8515,4.9045,4.7335,0.78K,-1.17%
09/24/2025,4.7885,4.615,4.82,4.593,1.47K,3.66%
09/23/2025,4.6195,4.615,4.621,4.6005,0.42K,0.26%
09/22/2025,4.6075,4.6225,4.623,4.583,0.54K,-0.43%
09/19/2025,4.6275,4.6,4.6425,4.589,18.24K,0.59%
09/18/2025,4.6005,4.615,4.631,4.5765,22.97K,-0.68%
09/17/2025,4.632,4.699,4.704,4.583,32.28K,-1.32%
09/16/2025,4.694,4.7195,4.722,4.6805,24.93K,-0.50%
09/15/2025,4.7175,4.6525,4.726,4.6385,25.29K,1.41%
09/12/2025,4.652,4.6725,4.6995,4.643,27.58K,-0.13%
09/11/2025,4.658,4.605,4.684,4.597,26.14K,0.87%
09/10/2025,4.618,4.5745,4.626,4.5635,27.10K,1.06%
09/09/2025,4.5695,4.565,4.59,4.546,25.40K,0.22%
09/08/2025,4.5595,4.543,4.579,4.5255,23.67K,0.19%
09/05/2025,4.551,4.566,4.62,4.5365,33.44K,-0.16%
09/04/2025,4.5585,4.6145,4.6205,4.552,24.60K,-1.54%
09/03/2025,4.63,4.6455,4.675,4.602,30.54K,-0.24%
09/02/2025,4.641,4.592,4.649,4.541,52.27K,1.28%
09/01/2025,4.5825,4.5843,4.6125,4.57,9.83K,-0.06%
08/31/2025,4.5853,4.5925,4.5925,4.5742,,-0.11%
08/29/2025,4.5905,4.5445,4.594,4.5365,31.30K,1.13%
08/28/2025,4.539,4.5,4.555,4.4845,28.79K,1.51%
08/27/2025,4.4715,4.517,4.517,4.4345,2.20K,-0.85%
08/26/2025,4.51,4.5155,4.5355,4.5005,0.30K,-0.36%
08/25/2025,4.5265,4.51,4.539,4.51,0.25K,-0.02%
08/22/2025,4.5275,4.517,4.5485,4.497,23.05K,0.35%
08/21/2025,4.5115,4.504,4.523,4.4815,22.21K,0.02%
08/20/2025,4.5105,4.4945,4.517,4.4815,13.41K,0.49%
08/19/2025,4.4885,4.5425,4.5565,4.487,10.38K,-1.05%
08/18/2025,4.536,4.549,4.5665,4.5145,10.09K,0.97%
08/15/2025,4.4925,4.497,4.518,4.466,19.76K,0.29%
08/14/2025,4.4795,4.4975,4.5145,4.4495,24.63K,-0.40%
08/13/2025,4.4975,4.5165,4.55,4.484,28.42K,-0.62%
08/12/2025,4.5255,4.4505,4.539,4.4435,32.70K,1.93%
08/11/2025,4.44,4.4835,4.485,4.4275,27.99K,-0.70%
08/08/2025,4.4715,4.414,4.4915,4.4015,39.34K,1.66%
08/07/2025,4.3985,4.4125,4.449,4.3905,29.95K,-0.33%
08/06/2025,4.413,4.381,4.4355,4.38,25.28K,0.62%
08/05/2025,4.386,4.4585,4.471,4.3725,31.66K,-1.16%
08/04/2025,4.4375,4.4505,4.48,4.4005,32.37K,0.05%
08/01/2025,4.4355,4.433,4.451,4.364,51.33K,1.86%
07/31/2025,4.3545,4.6395,4.652,4.3325,116.94K,-22.05%
07/30/2025,5.586,5.66,5.83,4.503,94.05K,-0.37%
07/29/2025,5.607,5.557,5.6575,5.557,1.04K,0.17%
07/28/2025,5.5975,5.778,5.7965,5.5225,0.57K,-3.24%
07/25/2025,5.785,5.827,5.838,5.744,24.77K,-0.28%
07/24/2025,5.8015,5.8445,5.9585,5.781,31.96K,-0.31%
07/23/2025,5.8195,5.765,5.93,5.722,39.42K,1.71%
07/22/2025,5.7215,5.641,5.7715,5.575,34.62K,1.49%
07/21/2025,5.6375,5.591,5.6685,5.5635,23.56K,0.59%
07/18/2025,5.6045,5.498,5.615,5.4955,24.64K,1.67%
07/17/2025,5.5125,5.5175,5.5295,5.474,21.91K,-0.24%
07/16/2025,5.526,5.5155,5.5665,5.468,31.46K,-0.92%
07/15/2025,5.5775,5.525,5.6125,5.4925,31.00K,0.49%
07/14/2025,5.5505,5.583,5.603,5.455,33.68K,-0.96%
07/11/2025,5.6045,5.629,5.6625,5.4735,37.76K,0.24%
07/10/2025,5.591,5.541,5.6855,5.5255,45.79K,1.90%
07/09/2025,5.4865,5.48,5.7305,5.425,85.17K,-3.50%
07/08/2025,5.6855,5.012,5.8955,4.9725,81.24K,13.12%
07/07/2025,5.026,5.0645,5.0925,4.9825,41.99K,-0.72%
07/04/2025,5.0625,5.143,5.145,5.0345,13.09K,-1.54%
07/03/2025,5.1415,5.1995,5.2045,5.1205,31.76K,-1.08%
07/02/2025,5.1975,5.0985,5.212,5.077,33.63K,1.92%
07/01/2025,5.0995,5.109,5.1925,5.0755,39.32K,0.33%
06/30/2025,5.0825,5.1245,5.1385,5.0625,24.04K,-0.79%
06/27/2025,5.123,5.109,5.1455,5.021,43.61K,0.60%
06/26/2025,5.0925,4.95,5.11,4.947,1.94K,3.65%
06/25/2025,4.913,4.8905,4.8915,4.89,0.71K,0.95%
06/24/2025,4.867,4.8635,4.8685,4.8635,0.51K,0.50%
06/23/2025,4.843,4.8185,4.908,4.8165,0.82K,0.20%
06/20/2025,4.8335,4.851,4.8735,4.743,46.27K,0.42%
06/19/2025,4.8135,4.856,4.8683,4.7773,13.54K,-0.81%
06/18/2025,4.853,4.7845,4.871,4.7845,29.83K,0.91%
06/17/2025,4.809,4.821,4.8405,4.777,30.13K,-0.56%
06/16/2025,4.836,4.7645,4.868,4.728,36.72K,0.45%
06/13/2025,4.8145,4.8425,4.857,4.709,43.87K,-0.43%
06/12/2025,4.8355,4.8065,4.8495,4.765,36.07K,0.44%
06/11/2025,4.8145,4.8905,4.9135,4.776,51.83K,-1.74%
06/10/2025,4.9,4.903,4.926,4.851,35.94K,-0.51%
06/09/2025,4.925,4.8385,4.9395,4.8245,36.33K,1.59%
06/06/2025,4.848,4.911,4.9495,4.823,45.90K,-1.72%
06/05/2025,4.933,4.8985,5.0615,4.88,55.86K,0.95%
06/04/2025,4.8865,4.863,4.916,4.839,33.66K,1.09%
06/03/2025,4.834,4.8485,4.8695,4.7185,47.86K,-0.50%
06/02/2025,4.8585,4.72,4.9495,4.72,60.05K,3.87%
05/30/2025,4.6775,4.6745,4.727,4.646,38.76K,0.04%
05/29/2025,4.6755,4.679,4.7455,4.6515,39.93K,0.54%
05/28/2025,4.6505,4.72,4.74,4.6445,1.03K,-1.37%
05/27/2025,4.715,4.859,4.859,4.712,1.30K,-2.45%
05/26/2025,4.8333,4.8515,4.8865,4.8172,16.53K,-0.38%
05/25/2025,4.8518,4.8738,4.8793,4.8468,50.40K,0.32%
05/23/2025,4.8365,4.6785,4.89,4.629,51.34K,3.36%
05/22/2025,4.6795,4.6625,4.7435,4.569,47.87K,0.16%
05/21/2025,4.672,4.6765,4.712,4.6485,33.01K,0.39%
05/20/2025,4.654,4.6635,4.6815,4.5855,32.92K,-0.35%
05/19/2025,4.6705,4.6085,4.6785,4.561,32.64K,1.68%
05/16/2025,4.5935,4.682,4.698,4.569,34.22K,-1.92%
05/15/2025,4.6835,4.6435,4.7075,4.5715,32.19K,0.71%
05/14/2025,4.6505,4.711,4.737,4.628,30.44K,-1.54%
05/13/2025,4.723,4.6305,4.7315,4.605,33.77K,2.21%
05/12/2025,4.621,4.69,4.7295,4.5895,43.12K,-0.69%
05/09/2025,4.653,4.6035,4.74,4.4775,48.54K,1.06%
05/08/2025,4.604,4.6185,4.6775,4.5425,43.09K,-1.19%
05/07/2025,4.6595,4.7595,4.807,4.6125,41.11K,-2.48%
05/06/2025,4.778,4.705,4.793,4.672,36.10K,1.68%
05/05/2025,4.699,4.704,4.7655,4.663,25.20K,0.56%
05/02/2025,4.673,4.639,4.7435,4.618,40.56K,0.97%
05/01/2025,4.628,4.6155,4.683,4.5975,32.18K,0.41%
04/30/2025,4.609,4.8625,4.8655,4.524,63.22K,-5.41%
04/29/2025,4.8725,4.897,4.9635,4.8435,36.95K,0.16%
04/28/2025,4.8645,4.867,4.8935,4.8,1.32K,-0.62%
04/25/2025,4.895,4.937,4.9465,4.7905,39.21K,-0.32%
04/24/2025,4.9105,4.884,4.942,4.8605,27.97K,0.32%
04/23/2025,4.895,4.9085,4.9825,4.871,32.08K,-0.67%
04/22/2025,4.928,4.7735,4.942,4.77,32.76K,3.10%
04/21/2025,4.78,4.7565,4.8565,4.7375,18.09K,0.87%
04/17/2025,4.739,4.677,4.751,4.5645,50.46K,1.14%
04/16/2025,4.6855,4.613,4.6985,4.5435,45.70K,1.29%
04/15/2025,4.626,4.653,4.6645,4.535,47.32K,0.01%
