Date,Price,Open,High,Low,Vol.,Change %
10/23/2025,0.925,0.9242,0.9252,0.924,,0.09%
10/22/2025,0.9242,0.9237,0.9248,0.922,,0.05%
10/21/2025,0.9237,0.9228,0.9248,0.9209,,0.11%
10/20/2025,0.9227,0.9249,0.9261,0.9214,,-0.28%
10/19/2025,0.9253,0.9238,0.9256,0.9238,,0.14%
10/17/2025,0.924,0.9268,0.9276,0.9218,,-0.30%
10/16/2025,0.9268,0.9278,0.9307,0.926,,-0.11%
10/15/2025,0.9278,0.9298,0.9313,0.9265,,-0.22%
10/14/2025,0.9298,0.9305,0.9313,0.928,,-0.06%
10/13/2025,0.9304,0.9287,0.9329,0.9269,,0.18%
10/10/2025,0.9287,0.9325,0.9337,0.9283,,-0.41%
10/09/2025,0.9325,0.9326,0.9332,0.9299,,0.00%
10/08/2025,0.9325,0.9303,0.933,0.9295,,0.20%
10/07/2025,0.9306,0.9313,0.9321,0.9298,,-0.05%
10/06/2025,0.9311,0.934,0.9351,0.9306,,-0.31%
10/03/2025,0.934,0.9349,0.9361,0.9333,,-0.10%
10/02/2025,0.9349,0.9348,0.9367,0.9342,,0.00%
10/01/2025,0.9349,0.9345,0.9383,0.9329,,0.04%
09/30/2025,0.9345,0.9353,0.9374,0.9334,,-0.09%
09/29/2025,0.9353,0.9336,0.9369,0.9322,,0.18%
09/26/2025,0.9336,0.9329,0.9343,0.9319,,0.08%
09/25/2025,0.9329,0.9335,0.9353,0.9322,,-0.06%
09/24/2025,0.9335,0.9349,0.9358,0.9321,,-0.15%
09/23/2025,0.9349,0.9353,0.936,0.9339,,-0.05%
09/22/2025,0.9354,0.9344,0.9358,0.9328,,0.11%
09/19/2025,0.9344,0.9341,0.9359,0.9332,,0.03%
09/18/2025,0.9341,0.9319,0.9346,0.9313,,0.23%
09/17/2025,0.932,0.9328,0.9352,0.931,,-0.08%
09/16/2025,0.9327,0.935,0.9353,0.9322,,-0.21%
09/15/2025,0.9347,0.9348,0.9363,0.9336,,-0.01%
09/12/2025,0.9348,0.9338,0.9354,0.933,,0.11%
