Date,Price,Open,High,Low,Vol.,Change %
10/22/2025,2.2271,2.2082,2.2343,2.2026,0.43K,0.89%
10/21/2025,2.2075,2.1857,2.2221,2.168,0.08K,0.70%
10/20/2025,2.1921,2.1795,2.1979,2.166,33.13K,0.79%
10/19/2025,2.1749,2.183,2.1887,2.1743,0.56K,-0.23%
10/17/2025,2.18,2.1564,2.1853,2.1174,45.10K,1.23%
10/16/2025,2.1535,2.1941,2.2078,2.1471,45.14K,-0.98%
10/15/2025,2.1748,2.2002,2.2097,2.167,48.58K,-1.04%
10/14/2025,2.1976,2.2549,2.2608,2.1847,54.00K,-2.32%
10/13/2025,2.2497,2.2123,2.26,2.2072,0.12K,2.05%
10/10/2025,2.2044,2.275,2.2847,2.1875,62.11K,-3.33%
10/09/2025,2.2803,2.2906,2.3149,2.2712,49.61K,-0.48%
10/08/2025,2.2913,2.2808,2.2972,2.2658,55.28K,1.15%
10/07/2025,2.2653,2.2521,2.281,2.2359,62.98K,0.94%
10/06/2025,2.2443,2.2385,2.2714,2.231,48.25K,0.36%
10/03/2025,2.2363,2.2454,2.2662,2.2278,58.83K,-0.32%
10/02/2025,2.2435,2.3004,2.3163,2.2375,78.55K,-2.54%
10/01/2025,2.3019,2.3202,2.3377,2.2993,56.27K,-1.31%
09/30/2025,2.3325,2.3406,2.345,2.3107,3.33K,-1.02%
09/29/2025,2.3566,2.4174,2.425,2.3411,21.46K,-2.98%
09/26/2025,2.4289,2.428,2.4453,2.4061,24.23K,0.10%
09/25/2025,2.4265,2.3737,2.4353,2.3681,30.60K,2.07%
09/24/2025,2.3772,2.345,2.3794,2.3245,26.27K,2.11%
09/23/2025,2.328,2.2943,2.3477,2.277,25.70K,1.56%
09/22/2025,2.2923,2.3022,2.3279,2.2713,22.58K,-0.29%
09/19/2025,2.2989,2.3422,2.343,2.2973,26.15K,-1.76%
09/18/2025,2.34,2.3491,2.3659,2.3221,32.17K,-0.63%
09/17/2025,2.3548,2.3916,2.4011,2.3427,47.15K,-1.62%
09/16/2025,2.3935,2.3317,2.4015,2.3179,53.00K,2.68%
09/15/2025,2.3311,2.2981,2.3434,2.2909,41.64K,1.79%
09/12/2025,2.29,2.2808,2.3371,2.2566,59.97K,0.35%
09/11/2025,2.2819,2.3366,2.3367,2.2657,58.08K,-2.22%
09/10/2025,2.3337,2.3247,2.3407,2.3116,51.24K,0.59%
09/09/2025,2.3199,2.3185,2.3548,2.3131,51.22K,0.35%
