Date,Price,Open,High,Low,Vol.,Change %
10/22/2025,3.464,3.522,3.573,3.455,16.07K,-1.67%
10/21/2025,3.523,3.421,3.527,3.357,1.39K,3.71%
10/20/2025,3.397,3.16,3.43,3.136,266.60K,7.74%
10/19/2025,3.153,3.154,3.178,3.147,9.39K,4.82%
10/17/2025,3.008,2.926,3.024,2.893,128.24K,2.38%
10/16/2025,2.938,3.036,3.067,2.922,161.36K,-2.59%
10/15/2025,3.016,3.029,3.041,2.964,149.15K,-0.40%
10/14/2025,3.028,3.103,3.106,3.004,150.48K,-2.89%
10/13/2025,3.118,3.1,3.138,3.029,0.70K,0.39%
10/10/2025,3.106,3.239,3.253,3.089,195.35K,-4.99%
10/09/2025,3.269,3.336,3.393,3.235,198.68K,-1.92%
10/08/2025,3.333,3.524,3.55,3.316,242.69K,-4.72%
10/07/2025,3.498,3.398,3.524,3.355,230.26K,4.20%
10/06/2025,3.357,3.3,3.485,3.296,165.23K,0.99%
10/03/2025,3.324,3.413,3.451,3.307,217.26K,-3.43%
10/02/2025,3.442,3.457,3.585,3.402,259.35K,-0.98%
10/01/2025,3.476,3.331,3.492,3.318,240.70K,5.24%
09/30/2025,3.303,3.279,3.351,3.245,162.03K,1.10%
09/29/2025,3.267,3.149,3.299,3.133,166.63K,15.24%
09/26/2025,2.835,2.912,2.944,2.788,4.45K,-2.38%
09/25/2025,2.904,2.879,2.968,2.848,74.21K,1.61%
09/24/2025,2.858,2.863,2.914,2.816,55.70K,0.18%
09/23/2025,2.853,2.806,2.87,2.772,70.89K,1.67%
09/22/2025,2.806,2.909,2.945,2.804,163.18K,-12.04%
09/19/2025,3.19,3.211,3.241,3.174,135.90K,-1.36%
09/18/2025,3.234,3.34,3.365,3.224,124.16K,-3.81%
09/17/2025,3.362,3.366,3.419,3.332,84.82K,0.21%
09/16/2025,3.355,3.308,3.375,3.17,102.44K,1.67%
09/15/2025,3.3,3.199,3.306,3.173,92.15K,12.21%
09/12/2025,2.941,2.918,3,2.897,160.05K,0.24%
09/11/2025,2.934,3.029,3.062,2.911,199.07K,-3.14%
09/10/2025,3.029,3.107,3.117,3.008,171.98K,-2.82%
09/09/2025,3.117,3.098,3.165,3.046,181.52K,0.87%
09/08/2025,3.09,3.087,3.198,3.056,200.53K,1.38%
09/05/2025,3.048,3.078,3.13,3.021,130.91K,-0.85%
09/04/2025,3.074,3.075,3.13,3.022,165.91K,0.33%
09/03/2025,3.064,2.992,3.131,2.964,187.56K,1.83%
09/02/2025,3.009,2.972,3.065,2.869,226.57K,0.91%
09/01/2025,2.982,2.974,3.065,2.928,45.73K,-0.73%
08/31/2025,3.004,2.986,3.005,2.979,,0.23%
