Date,Price,Open,High,Low,Vol.,Change %
10/21/2025,"3,820.35","3,841.82","3,847.28","3,798.09",,-0.49%
10/20/2025,"3,838.99","3,810.84","3,840.94","3,802.30",,0.91%
10/17/2025,"3,804.38","3,822.58","3,824.69","3,786.84",,-0.33%
10/16/2025,"3,816.95","3,819.27","3,849.18","3,812.07",,-0.03%
10/15/2025,"3,817.95","3,823.91","3,842.46","3,809.41",,-0.12%
10/14/2025,"3,822.50","3,850.62","3,861.54","3,790.17",,-0.70%
10/13/2025,"3,849.44","3,812.08","3,858.53","3,812.08",,1.18%
10/10/2025,"3,804.49","3,893.19","3,894.25","3,792.61",,-2.22%
10/09/2025,"3,890.75","3,919.49","3,942.32","3,883.47",,-0.80%
10/08/2025,"3,921.96","3,900.59","3,932.42","3,900.59",,0.65%
10/07/2025,"3,896.49","3,886.74","3,902.28","3,867.17",,0.25%
10/06/2025,"3,886.65","3,863.64","3,893.67","3,863.64",,0.86%
10/03/2025,"3,853.69","3,836.72","3,865.19","3,836.72",,0.45%
10/02/2025,"3,836.30","3,871.91","3,890.69","3,830.04",,-0.99%
10/01/2025,"3,874.61","3,880.50","3,899.82","3,855.41",,-0.11%
09/30/2025,"3,878.68","3,910.90","3,910.90","3,866.55",,-0.80%
09/29/2025,"3,910.12","3,957.52","3,957.52","3,899.58",,-1.21%
09/26/2025,"3,957.81","3,935.28","3,973.62","3,925.78",,0.61%
09/25/2025,"3,934.00","3,925.66","3,939.98","3,906.76",,0.23%
09/24/2025,"3,924.82","3,885.69","3,926.32","3,878.07",,0.99%
09/23/2025,"3,886.30","3,847.51","3,897.95","3,833.52",,1.02%
09/22/2025,"3,847.09","3,846.86","3,869.65","3,824.07",,0.04%
09/19/2025,"3,845.61","3,871.12","3,878.02","3,841.59",,-0.66%
09/18/2025,"3,871.15","3,892.97","3,899.92","3,864.62",,-0.60%
09/17/2025,"3,894.69","3,933.67","3,938.09","3,886.05",,-0.97%
09/16/2025,"3,932.87","3,898.80","3,938.26","3,890.07",,0.88%
09/15/2025,"3,898.38","3,859.20","3,904.77","3,857.74",,1.00%
09/12/2025,"3,859.67","3,840.09","3,887.34","3,825.44",,0.52%
09/11/2025,"3,839.75","3,866.15","3,869.58","3,825.40",,-0.68%
09/10/2025,"3,866.01","3,840.72","3,874.69","3,840.72",,0.64%
09/09/2025,"3,841.25","3,837.02","3,869.75","3,837.02",,0.11%
09/08/2025,"3,837.16","3,812.35","3,858.81","3,812.32",,0.67%
09/05/2025,"3,811.72","3,850.14","3,856.31","3,804.32",,-1.01%
09/04/2025,"3,850.63","3,874.36","3,874.36","3,833.36",,-0.65%
09/03/2025,"3,875.72","3,911.29","3,917.26","3,870.46",,-0.89%
09/02/2025,"3,910.42","3,858.92","3,913.01","3,858.90",,1.47%
08/29/2025,"3,853.71","3,845.88","3,855.85","3,835.77",,0.19%
08/28/2025,"3,846.35","3,824.96","3,848.81","3,811.49",,0.47%
08/27/2025,"3,828.32","3,807.42","3,830.01","3,793.13",,0.58%
08/26/2025,"3,806.29","3,844.84","3,844.84","3,803.77",,-0.99%
08/25/2025,"3,844.40","3,817.14","3,852.17","3,812.62",,0.68%
08/22/2025,"3,818.30","3,801.54","3,822.73","3,791.59",,0.46%
08/21/2025,"3,800.85","3,768.05","3,804.09","3,767.92",,0.89%
08/20/2025,"3,767.28","3,729.43","3,773.00","3,729.24",,1.03%
08/19/2025,"3,728.98","3,752.35","3,753.58","3,725.21",,-0.61%
08/18/2025,"3,751.92","3,740.27","3,761.07","3,715.69",,0.34%
08/15/2025,"3,739.11","3,743.16","3,751.74","3,724.93",,-0.11%
08/14/2025,"3,743.11","3,732.10","3,747.69","3,721.00",,0.31%
08/13/2025,"3,731.67","3,743.36","3,749.64","3,708.08",,-0.30%
08/12/2025,"3,742.92","3,758.85","3,767.44","3,739.15",,-0.41%
08/11/2025,"3,758.42","3,758.90","3,771.49","3,727.95",,0.00%
08/08/2025,"3,758.28","3,764.69","3,791.99","3,742.46",,-0.07%
08/07/2025,"3,761.08","3,761.27","3,784.97","3,755.91",,0.00%
08/06/2025,"3,761.01","3,763.51","3,812.30","3,752.05",,-0.06%
08/05/2025,"3,763.15","3,786.52","3,790.69","3,756.47",,-0.60%
08/04/2025,"3,785.84","3,800.10","3,816.55","3,765.68",,-0.46%
08/01/2025,"3,803.41","3,862.05","3,870.95","3,797.89",,-1.51%
07/31/2025,"3,861.59","3,888.89","3,901.30","3,846.74",,-0.74%
07/30/2025,"3,890.55","3,883.95","3,901.99","3,860.74",,0.21%
07/29/2025,"3,882.46","3,829.37","3,894.49","3,823.44",,1.40%
07/28/2025,"3,828.70","3,797.61","3,844.01","3,792.58",,0.84%
07/25/2025,"3,796.67","3,823.42","3,834.02","3,794.17",,-0.65%
07/24/2025,"3,821.65","3,814.44","3,841.41","3,803.44",,0.20%
07/23/2025,"3,813.99","3,820.57","3,833.25","3,797.43",,-0.16%
07/22/2025,"3,820.11","3,836.67","3,836.67","3,806.31",,-0.45%
07/21/2025,"3,837.52","3,840.47","3,843.41","3,814.12",,-0.04%
07/18/2025,"3,839.11","3,822.53","3,882.88","3,821.61",,0.45%
07/17/2025,"3,821.98","3,792.84","3,824.60","3,786.81",,0.78%
07/16/2025,"3,792.38","3,790.29","3,803.24","3,763.47",,0.07%
07/15/2025,"3,789.84","3,796.81","3,807.11","3,778.21",,-0.18%
07/14/2025,"3,796.55","3,830.23","3,865.81","3,794.66",,-0.76%
07/11/2025,"3,825.66","3,779.40","3,837.55","3,766.12",,1.24%
07/10/2025,"3,778.68","3,809.98","3,823.75","3,773.49",,-0.82%
07/09/2025,"3,809.92","3,816.41","3,826.86","3,790.05",,-0.16%
07/08/2025,"3,815.96","3,801.28","3,828.47","3,785.34",,0.40%
07/07/2025,"3,800.83","3,787.30","3,809.03","3,746.65",,0.21%
07/03/2025,"3,792.84","3,804.41","3,815.71","3,786.65",,-0.33%
07/02/2025,"3,805.55","3,735.11","3,807.62","3,726.52",,1.90%
07/01/2025,"3,734.54","3,728.82","3,746.51","3,715.81",,0.21%
06/30/2025,"3,726.85","3,744.51","3,747.96","3,715.08",,-0.44%
06/27/2025,"3,743.20","3,734.34","3,747.58","3,716.00",,0.25%
06/26/2025,"3,733.94","3,718.86","3,756.10","3,717.45",,0.42%
06/25/2025,"3,718.42","3,716.94","3,752.25","3,716.81",,0.06%
06/24/2025,"3,716.35","3,827.25","3,827.25","3,712.31",,-3.67%
06/23/2025,"3,857.82","4,011.81","4,053.28","3,851.64",,-3.12%
06/20/2025,"3,981.93","3,982.03","4,011.88","3,967.37",,-0.04%
06/18/2025,"3,983.40","3,965.08","3,998.82","3,929.95",,0.48%
06/17/2025,"3,964.53","3,887.28","3,973.80","3,878.96",,1.99%
06/16/2025,"3,887.05","3,895.32","3,954.75","3,818.68",,-0.14%
06/13/2025,"3,892.45","3,772.21","3,965.24","3,772.21",,3.20%
06/12/2025,"3,771.77","3,787.07","3,793.16","3,752.98",,-0.07%
06/11/2025,"3,774.49","3,712.51","3,778.81","3,700.64",,1.68%
06/10/2025,"3,712.07","3,724.96","3,738.85","3,703.79",,-0.33%
06/09/2025,"3,724.51","3,712.70","3,726.74","3,699.54",,0.34%
06/06/2025,"3,711.99","3,677.60","3,715.18","3,663.45",,0.95%
06/05/2025,"3,677.16","3,651.50","3,695.61","3,644.11",,0.71%
06/04/2025,"3,651.07","3,661.85","3,678.28","3,633.71",,-0.28%
06/03/2025,"3,661.41","3,637.58","3,672.49","3,627.55",,0.71%
06/02/2025,"3,635.56","3,570.37","3,671.50","3,570.37",,1.92%
05/30/2025,"3,567.08","3,586.37","3,604.39","3,551.73",,-0.54%
05/29/2025,"3,586.51","3,611.25","3,643.57","3,578.26",,-0.68%
05/28/2025,"3,611.13","3,611.88","3,633.33","3,604.39",,0.07%
05/27/2025,"3,608.60","3,635.97","3,637.62","3,590.63",,-0.71%
05/23/2025,"3,634.23","3,620.72","3,639.85","3,592.07",,0.39%
05/22/2025,"3,620.29","3,641.80","3,645.19","3,592.46",,-0.58%
05/21/2025,"3,641.37","3,658.01","3,675.45","3,635.97",,0.00%
05/20/2025,"3,641.46","3,620.39","3,650.40","3,604.95",,0.62%
05/19/2025,"3,619.14","3,620.86","3,632.30","3,597.95",,0.02%
05/16/2025,"3,618.27","3,615.13","3,631.15","3,594.79",,0.10%
05/15/2025,"3,614.70","3,647.50","3,647.50","3,583.15",,-1.15%
05/14/2025,"3,656.70","3,677.62","3,679.91","3,651.46",,-0.56%
05/13/2025,"3,677.18","3,625.36","3,683.75","3,618.50",,1.43%
05/12/2025,"3,625.29","3,606.23","3,667.32","3,599.06",,0.56%
05/09/2025,"3,604.95","3,566.02","3,611.45","3,565.58",,1.14%
05/08/2025,"3,564.39","3,522.12","3,567.65","3,517.43",,1.18%
