Date,Price,Open,High,Low,Vol.,Change %
10/21/2025,367.57,367.57,367.57,367.57,,-0.35%
10/20/2025,368.88,368.88,368.88,368.88,,1.10%
10/17/2025,364.86,364.86,364.86,364.86,,-0.16%
10/16/2025,365.44,365.44,365.44,365.44,,0.09%
10/15/2025,365.11,365.11,365.11,365.11,,-0.29%
10/14/2025,366.19,366.19,366.19,366.19,,-0.34%
10/13/2025,367.43,367.43,367.43,367.43,,0.98%
10/10/2025,363.85,363.85,363.85,363.85,,-2.18%
10/09/2025,371.97,371.97,371.97,371.97,,-0.91%
10/08/2025,375.4,375.4,375.4,375.4,,0.36%
10/07/2025,374.06,374.06,374.06,374.06,,0.02%
10/06/2025,373.97,373.97,373.97,373.97,,0.59%
10/03/2025,371.77,371.77,371.77,371.77,,0.36%
10/02/2025,370.45,370.45,370.45,370.45,,-0.72%
10/01/2025,373.12,373.12,373.12,373.12,,-0.02%
09/30/2025,373.19,373.19,373.19,373.19,,-0.65%
09/29/2025,375.62,375.62,375.62,375.62,,-0.77%
09/26/2025,378.53,378.53,378.53,378.53,,0.57%
09/25/2025,376.4,376.4,376.4,376.4,,0.17%
09/24/2025,375.77,375.77,375.77,375.77,,1.01%
09/23/2025,372.02,372.02,372.02,372.02,,0.73%
09/22/2025,369.33,369.33,369.33,369.33,,-0.38%
09/19/2025,370.76,370.76,370.76,370.76,,-0.73%
09/18/2025,373.49,373.49,373.49,373.49,,-0.77%
09/17/2025,376.39,376.39,376.39,376.39,,-1.19%
09/16/2025,380.91,380.91,380.91,380.91,,0.60%
09/15/2025,378.62,378.62,378.62,378.62,,1.28%
09/12/2025,373.85,373.85,373.85,373.85,,0.48%
09/11/2025,372.08,372.08,372.08,372.08,,-0.49%
09/10/2025,373.93,373.93,373.93,373.93,,0.58%
09/09/2025,371.77,371.77,371.77,371.77,,0.26%
09/08/2025,370.82,370.82,370.82,370.82,,0.58%
09/05/2025,368.67,368.67,368.67,368.67,,-0.85%
09/04/2025,371.83,371.83,371.83,371.83,,-0.76%
09/03/2025,374.67,374.67,374.67,374.67,,-0.55%
09/02/2025,376.73,376.73,376.73,376.73,,0.72%
08/29/2025,374.05,374.05,374.05,374.05,,0.21%
08/28/2025,373.26,373.26,373.26,373.26,,0.35%
08/27/2025,371.97,371.97,371.97,371.97,,0.78%
08/26/2025,369.1,369.1,369.1,369.1,,-1.07%
08/25/2025,373.08,373.08,373.08,373.08,,0.61%
08/22/2025,370.83,370.83,370.83,370.83,,0.54%
08/21/2025,368.84,368.84,368.84,368.84,,0.83%
08/20/2025,365.81,365.81,365.81,365.81,,0.68%
08/19/2025,363.36,363.36,363.36,363.36,,-0.65%
08/18/2025,365.75,365.75,365.75,365.75,,0.20%
08/15/2025,365.03,365.03,365.03,365.03,,0.16%
08/14/2025,364.43,364.43,364.43,364.43,,0.10%
08/13/2025,364.05,364.05,364.05,364.05,,-0.17%
08/12/2025,364.68,364.68,364.68,364.68,,-0.10%
08/11/2025,365.04,365.04,365.04,365.04,,0.58%
08/08/2025,362.92,362.92,362.92,362.92,,0.08%
08/07/2025,362.63,362.63,362.63,362.63,,0.26%
08/06/2025,361.67,361.67,361.67,361.67,,-0.06%
08/05/2025,361.87,361.87,361.87,361.87,,-0.10%
08/04/2025,362.23,362.23,362.23,362.23,,-0.52%
08/01/2025,364.11,364.11,364.11,364.11,,-1.49%
07/31/2025,369.61,369.61,369.61,369.61,,-1.78%
07/30/2025,376.3,376.3,376.3,376.3,,-0.22%
07/29/2025,377.14,377.14,377.14,377.14,,0.83%
07/28/2025,374.04,374.04,374.04,374.04,,0.44%
07/25/2025,372.39,372.39,372.39,372.39,,-0.68%
07/24/2025,374.96,374.96,374.96,374.96,,0.18%
07/23/2025,374.27,374.27,374.27,374.27,,0.03%
07/22/2025,374.16,374.16,374.16,374.16,,-0.32%
07/21/2025,375.35,375.35,375.35,375.35,,-0.40%
07/18/2025,376.85,376.85,376.85,376.85,,0.63%
07/17/2025,374.49,374.49,374.49,374.49,,0.37%
07/16/2025,373.11,373.11,373.11,373.11,,0.16%
07/15/2025,372.51,372.51,372.51,372.51,,-0.22%
07/14/2025,373.31,373.31,373.31,373.31,,-0.01%
07/11/2025,373.34,373.34,373.34,373.34,,1.06%
07/10/2025,369.42,369.42,369.42,369.42,,-0.41%
07/09/2025,370.95,370.95,370.95,370.95,,-0.20%
07/08/2025,371.7,371.7,371.7,371.7,,1.02%
07/07/2025,367.96,367.96,367.96,367.96,,-0.17%
07/03/2025,368.57,368.57,368.57,368.57,,-0.25%
07/02/2025,369.48,369.48,369.48,369.48,,1.58%
07/01/2025,363.72,363.72,363.72,363.72,,-0.40%
06/30/2025,365.18,365.18,365.18,365.18,,-0.79%
06/27/2025,368.08,368.08,368.08,368.08,,0.52%
06/26/2025,366.18,366.18,366.18,366.18,,0.55%
06/25/2025,364.17,364.17,364.17,364.17,,-0.10%
06/24/2025,364.55,364.55,364.55,364.55,,-2.64%
06/23/2025,374.43,374.43,374.43,374.43,,-2.36%
06/20/2025,383.47,383.47,383.47,383.47,,-0.57%
06/18/2025,385.67,385.67,385.67,385.67,,0.13%
06/17/2025,385.15,385.15,385.15,385.15,,1.25%
06/16/2025,380.4,380.4,380.4,380.4,,0.12%
06/13/2025,379.93,379.93,379.93,379.93,,2.37%
06/12/2025,371.14,371.14,371.14,371.14,,-0.10%
06/11/2025,371.5,371.5,371.5,371.5,,1.27%
06/10/2025,366.85,366.85,366.85,366.85,,-0.71%
06/09/2025,369.47,369.47,369.47,369.47,,0.24%
06/06/2025,368.58,368.58,368.58,368.58,,0.77%
06/05/2025,365.76,365.76,365.76,365.76,,0.71%
06/04/2025,363.18,363.18,363.18,363.18,,-0.08%
06/03/2025,363.45,363.45,363.45,363.45,,0.65%
06/02/2025,361.1,361.1,361.1,361.1,,1.58%
05/30/2025,355.47,355.47,355.47,355.47,,-0.10%
05/29/2025,355.83,355.83,355.83,355.83,,-0.84%
05/28/2025,358.85,358.85,358.85,358.85,,-0.49%
05/27/2025,360.63,360.63,360.63,360.63,,-0.60%
05/23/2025,362.79,362.79,362.79,362.79,,0.14%
05/22/2025,362.27,362.27,362.27,362.27,,-0.76%
05/21/2025,365.04,365.04,365.04,365.04,,0.14%
05/20/2025,364.52,364.52,364.52,364.52,,0.68%
05/19/2025,362.07,362.07,362.07,362.07,,0.08%
05/16/2025,361.77,361.77,361.77,361.77,,0.09%
05/15/2025,361.47,361.47,361.47,361.47,,-0.84%
05/14/2025,364.54,364.54,364.54,364.54,,-0.69%
05/13/2025,367.09,367.09,367.09,367.09,,1.70%
05/12/2025,360.94,360.94,360.94,360.94,,0.17%
05/09/2025,360.31,360.31,360.31,360.31,,1.08%
05/08/2025,356.47,356.47,356.47,356.47,,0.79%
05/07/2025,353.68,353.68,353.68,353.68,,-0.83%
05/06/2025,356.66,356.66,356.66,356.66,,1.36%
05/05/2025,351.88,351.88,351.88,351.88,,-0.64%
05/02/2025,354.13,354.13,354.13,354.13,,0.29%
05/01/2025,353.1,353.1,353.1,353.1,,0.26%
04/30/2025,352.18,352.18,352.18,352.18,,-1.84%
04/29/2025,358.8,358.8,358.8,358.8,,-1.22%
04/28/2025,363.21,363.21,363.21,363.21,,-0.16%
04/25/2025,363.79,363.79,363.79,363.79,,0.22%
04/24/2025,362.97,362.97,362.97,362.97,,0.76%
04/23/2025,360.23,360.23,360.23,360.23,,-0.56%
04/22/2025,362.25,362.25,362.25,362.25,,1.34%
04/21/2025,357.45,357.45,357.45,357.45,,-0.96%
04/17/2025,360.91,360.91,360.91,360.91,,1.27%
04/16/2025,356.39,356.39,356.39,356.39,,1.19%
04/15/2025,352.21,352.21,352.21,352.21,,-0.15%
04/14/2025,352.75,352.75,352.75,352.75,,-0.18%
04/11/2025,353.4,353.4,353.4,353.4,,1.87%
04/10/2025,346.93,346.93,346.93,346.93,,-1.00%
04/09/2025,350.44,350.44,350.44,350.44,,2.97%
04/08/2025,340.35,340.35,340.35,340.35,,-1.12%
04/07/2025,344.2,344.2,344.2,344.2,,-1.86%
04/04/2025,350.73,350.73,350.73,350.73,,-4.96%
04/03/2025,369.03,369.03,369.03,369.03,,-3.18%
04/02/2025,381.15,381.15,381.15,381.15,,0.91%
04/01/2025,377.73,377.73,377.73,377.73,,0.49%
03/31/2025,375.89,375.89,375.89,375.89,,0.83%
03/28/2025,372.8,372.8,372.8,372.8,,-0.05%
03/27/2025,372.98,372.98,372.98,372.98,,0.00%
03/26/2025,372.99,372.99,372.99,372.99,,0.20%
03/25/2025,372.24,372.24,372.24,372.24,,0.06%
03/24/2025,372.03,372.03,372.03,372.03,,0.23%
03/21/2025,371.17,371.17,371.17,371.17,,-0.52%
03/20/2025,373.11,373.11,373.11,373.11,,0.37%
03/19/2025,371.74,371.74,371.74,371.74,,0.75%
