Date,Price,Open,High,Low,Change %
10/23/2025,3.947,3.95,3.956,3.945,-0.15%
10/22/2025,3.953,3.963,3.978,3.936,-0.25%
10/21/2025,3.963,3.982,3.991,3.947,-0.63%
10/20/2025,3.988,4.013,4.026,3.982,-0.52%
10/17/2025,4.009,3.957,4.018,3.936,0.83%
10/16/2025,3.976,4.032,4.051,3.967,-1.71%
10/15/2025,4.045,4.032,4.047,3.999,0.57%
10/14/2025,4.022,4.051,4.069,3.998,-0.81%
10/13/2025,4.055,4.078,4.085,4.05,-0.52%
10/12/2025,4.076,4.059,4.081,4.064,0.62%
10/10/2025,4.051,4.136,4.14,4.032,-2.34%
10/09/2025,4.148,4.115,4.152,4.108,0.41%
10/08/2025,4.131,4.133,4.136,4.096,0.10%
10/07/2025,4.127,4.16,4.177,4.113,-0.84%
10/06/2025,4.162,4.146,4.168,4.133,1.04%
10/03/2025,4.119,4.088,4.125,4.079,0.71%
10/02/2025,4.09,4.1,4.127,4.083,-0.39%
10/01/2025,4.106,4.16,4.168,4.087,-1.06%
09/30/2025,4.15,4.143,4.16,4.106,0.22%
09/29/2025,4.141,4.168,4.17,4.135,-1.10%
09/26/2025,4.187,4.17,4.197,4.152,0.31%
09/25/2025,4.174,4.145,4.201,4.135,0.65%
09/24/2025,4.147,4.104,4.152,4.098,0.70%
09/23/2025,4.118,4.143,4.149,4.104,-0.65%
09/22/2025,4.145,4.139,4.152,4.122,0.14%
09/19/2025,4.139,4.11,4.145,4.106,0.85%
09/18/2025,4.104,4.081,4.137,4.043,0.69%
09/17/2025,4.076,4.032,4.091,3.99,1.24%
09/16/2025,4.026,4.037,4.064,4.022,-0.20%
09/15/2025,4.034,4.08,4.089,4.03,-0.64%
09/12/2025,4.06,4.03,4.083,4.026,1.22%
09/11/2025,4.011,4.053,4.07,3.994,-0.52%
09/10/2025,4.032,4.086,4.095,4.024,-1.03%
09/09/2025,4.074,4.045,4.091,4.04,0.69%
09/08/2025,4.046,4.095,4.103,4.038,-0.98%
09/05/2025,4.086,4.157,4.168,4.061,-2.16%
09/04/2025,4.176,4.211,4.225,4.157,-0.83%
09/03/2025,4.211,4.269,4.3,4.201,-1.54%
09/02/2025,4.277,4.256,4.306,4.244,0.56%
09/01/2025,4.253,4.252,4.28,4.232,0.38%
08/31/2025,4.237,4.228,4.237,4.228,0.26%
08/29/2025,4.226,4.209,4.242,4.207,0.45%
08/28/2025,4.207,4.234,4.25,4.203,-0.73%
08/27/2025,4.238,4.269,4.291,4.232,-0.42%
08/26/2025,4.256,4.273,4.312,4.252,-0.44%
08/25/2025,4.275,4.265,4.294,4.263,0.40%
08/22/2025,4.258,4.328,4.339,4.242,-1.71%
08/21/2025,4.332,4.297,4.347,4.289,0.84%
08/20/2025,4.296,4.312,4.326,4.275,-0.14%
08/19/2025,4.302,4.335,4.347,4.298,-0.85%
08/18/2025,4.339,4.32,4.353,4.289,0.25%
08/15/2025,4.328,4.289,4.332,4.269,0.82%
08/14/2025,4.293,4.238,4.297,4.204,1.25%
08/13/2025,4.24,4.297,4.302,4.225,-1.23%
08/12/2025,4.293,4.287,4.318,4.246,0.47%
08/11/2025,4.273,4.275,4.287,4.256,-0.23%
08/08/2025,4.283,4.246,4.289,4.242,0.92%
08/07/2025,4.244,4.238,4.254,4.219,0.62%
08/06/2025,4.218,4.216,4.283,4.212,0.52%
08/05/2025,4.196,4.188,4.226,4.187,-0.05%
08/04/2025,4.198,4.208,4.257,4.192,-0.52%
08/01/2025,4.22,4.376,4.414,4.202,-3.21%
07/31/2025,4.36,4.368,4.382,4.326,-0.41%
07/30/2025,4.378,4.328,4.382,4.314,1.16%
07/29/2025,4.328,4.408,4.422,4.32,-2.08%
07/28/2025,4.42,4.402,4.42,4.368,0.78%
07/25/2025,4.386,4.392,4.43,4.382,-0.50%
07/24/2025,4.408,4.384,4.442,4.382,0.46%
07/23/2025,4.388,4.36,4.398,4.354,1.20%
07/22/2025,4.336,4.38,4.398,4.328,-0.78%
07/21/2025,4.37,4.427,4.427,4.352,-1.38%
07/18/2025,4.431,4.443,4.451,4.416,-0.72%
07/17/2025,4.463,4.467,4.495,4.429,0.18%
07/16/2025,4.455,4.493,4.495,4.437,-0.76%
07/15/2025,4.489,4.429,4.493,4.396,1.40%
07/14/2025,4.427,4.417,4.447,4.403,0.09%
07/11/2025,4.423,4.358,4.427,4.34,1.77%
07/10/2025,4.346,4.336,4.376,4.322,0.09%
07/09/2025,4.342,4.401,4.423,4.334,-1.70%
07/08/2025,4.417,4.385,4.435,4.377,0.79%
07/07/2025,4.382,4.326,4.399,4.322,1.26%
07/04/2025,4.328,4.324,4.34,4.304,-0.41%
07/03/2025,4.346,4.271,4.364,4.249,1.49%
07/02/2025,4.282,4.242,4.308,4.24,0.97%
07/01/2025,4.241,4.234,4.279,4.187,0.23%
06/30/2025,4.231,4.281,4.291,4.222,-1.01%
06/27/2025,4.274,4.246,4.293,4.24,0.69%
06/26/2025,4.245,4.281,4.293,4.24,-1.05%
06/25/2025,4.29,4.293,4.338,4.277,-0.11%
06/24/2025,4.294,4.352,4.371,4.285,-1.06%
06/23/2025,4.341,4.375,4.407,4.291,-0.81%
06/20/2025,4.376,4.381,4.443,4.361,-0.20%
06/19/2025,4.385,4.375,4.4,4.374,-0.11%
06/18/2025,4.39,4.397,4.413,4.344,0.09%
06/17/2025,4.386,4.438,4.446,4.381,-1.40%
06/16/2025,4.448,4.418,4.462,4.403,0.97%
06/13/2025,4.406,4.32,4.448,4.31,0.95%
06/12/2025,4.364,4.414,4.42,4.344,-1.25%
06/11/2025,4.419,4.472,4.506,4.406,-1.20%
06/10/2025,4.473,4.48,4.49,4.438,-0.04%
06/09/2025,4.475,4.51,4.518,4.47,-0.66%
06/06/2025,4.505,4.394,4.514,4.375,2.64%
06/05/2025,4.389,4.359,4.402,4.318,0.74%
06/04/2025,4.356,4.446,4.468,4.349,-2.26%
06/03/2025,4.457,4.446,4.474,4.406,0.36%
06/02/2025,4.441,4.418,4.47,4.41,0.99%
05/30/2025,4.397,4.426,4.442,4.387,-0.62%
05/29/2025,4.425,4.509,4.539,4.416,-1.10%
05/28/2025,4.474,4.444,4.501,4.438,0.67%
05/27/2025,4.445,4.507,4.509,4.428,-1.47%
05/26/2025,4.511,4.546,4.563,4.506,-1.05%
05/25/2025,4.559,4.517,4.563,4.515,1.15%
05/23/2025,4.507,4.535,4.543,4.448,-0.46%
05/22/2025,4.528,4.609,4.629,4.527,-1.48%
05/21/2025,4.595,4.481,4.607,4.473,2.51%
05/20/2025,4.483,4.449,4.525,4.428,0.80%
05/19/2025,4.447,4.479,4.564,4.445,0.09%
05/16/2025,4.443,4.443,4.499,4.388,0.29%
05/15/2025,4.431,4.544,4.55,4.43,-2.44%
05/14/2025,4.541,4.475,4.546,4.447,1.60%
05/13/2025,4.47,4.465,4.504,4.425,-0.04%
05/12/2025,4.472,4.408,4.479,4.4,2.07%
05/09/2025,4.381,4.378,4.398,4.343,0.05%
05/08/2025,4.379,4.279,4.398,4.269,2.60%
05/07/2025,4.268,4.328,4.335,4.26,-0.68%
05/06/2025,4.298,4.365,4.378,4.297,-1.17%
05/05/2025,4.348,4.322,4.371,4.289,0.95%
05/02/2025,4.307,4.208,4.332,4.196,2.20%
05/01/2025,4.215,4.183,4.241,4.124,1.15%
04/30/2025,4.167,4.16,4.229,4.135,-0.09%
04/29/2025,4.171,4.214,4.247,4.164,-0.83%
04/28/2025,4.205,4.243,4.297,4.202,-1.14%
04/25/2025,4.254,4.321,4.33,4.237,-1.40%
04/24/2025,4.314,4.375,4.375,4.303,-1.60%
